target_gene	probe_count	annotated_ensembl_isoform_count	matched_probe_count	unmatched_probe_count	hit_isoform_count	hit_isoforms	common_to_all_probes_count	common_to_all_probes	distinct_probe_isoform_sets	classification
HBB	5	19	5	0	19	ENST00000335295.4,ENST00000380315.2,ENST00000475226.1,ENST00000485743.2,ENST00000633227.1,ENST00000647020.1,ENST00000883533.1,ENST00001098717.1,ENST00001098718.1,ENST00001098719.1,ENST00001098720.1,ENST00001098721.1,ENST00001098722.1,ENST00001098723.1,ENST00001098724.1,ENST00001098725.1,ENST00001098726.1,ENST00001098727.1,ENST00001098728.1	10	ENST00000335295.4,ENST00000633227.1,ENST00000647020.1,ENST00000883533.1,ENST00001098717.1,ENST00001098718.1,ENST00001098720.1,ENST00001098721.1,ENST00001098722.1,ENST00001098723.1	5	multiple_isoforms_differential_probe_coverage
HCAR2	5	1	5	0	1	ENST00000328880.6	1	ENST00000328880.6	1	single_isoform
HCAR3	5	1	5	0	1	ENST00000528880.3	1	ENST00000528880.3	1	single_isoform
HCK	5	9	5	0	9	ENST00000262651.4,ENST00000375852.5,ENST00000375862.7,ENST00000470092.1,ENST00000486475.6,ENST00000518730.5,ENST00000520553.6,ENST00000629881.3,ENST00001133261.1	8	ENST00000262651.4,ENST00000375852.5,ENST00000375862.7,ENST00000486475.6,ENST00000518730.5,ENST00000520553.6,ENST00000629881.3,ENST00001133261.1	2	multiple_isoforms_differential_probe_coverage
HCST	5	17	5	0	17	ENST00000246551.9,ENST00000437550.3,ENST00000864003.2,ENST00000864004.2,ENST00000930206.2,ENST00000991377.1,ENST00001009013.1,ENST00001009014.1,ENST00001059589.1,ENST00001102789.1,ENST00001102790.1,ENST00001102791.1,ENST00001102792.1,ENST00001102793.1,ENST00001102794.1,ENST00001102795.1,ENST00001136609.1	9	ENST00000246551.9,ENST00000864003.2,ENST00000991377.1,ENST00001009013.1,ENST00001102789.1,ENST00001102790.1,ENST00001102791.1,ENST00001102792.1,ENST00001136609.1	4	multiple_isoforms_differential_probe_coverage
HDAC1	5	32	5	0	31	ENST00000373548.8,ENST00000428704.1,ENST00000463172.5,ENST00000471488.1,ENST00000472928.5,ENST00000476391.5,ENST00000481281.6,ENST00000482310.5,ENST00000490081.5,ENST00000718279.2,ENST00000906551.2,ENST00000906552.2,ENST00000906553.2,ENST00000906554.2,ENST00000906555.2,ENST00000906556.2,ENST00000933659.2,ENST00000933660.2,ENST00000933661.2,ENST00000943499.2,ENST00000973421.1,ENST00001020943.1,ENST00001065485.1,ENST00001065486.1,ENST00001065487.1,ENST00001065488.1,ENST00001065489.1,ENST00001065491.1,ENST00001123767.1,ENST00001123768.1,ENST00001143399.1	18	ENST00000373548.8,ENST00000481281.6,ENST00000718279.2,ENST00000906552.2,ENST00000906553.2,ENST00000906554.2,ENST00000906555.2,ENST00000933659.2,ENST00000933660.2,ENST00000943499.2,ENST00000973421.1,ENST00001020943.1,ENST00001065485.1,ENST00001065486.1,ENST00001065488.1,ENST00001065491.1,ENST00001123767.1,ENST00001143399.1	5	multiple_isoforms_differential_probe_coverage
HDAC11	5	42	5	0	40	ENST00000295757.8,ENST00000402259.6,ENST00000402271.6,ENST00000404040.6,ENST00000404548.6,ENST00000405025.6,ENST00000405478.5,ENST00000416248.5,ENST00000418189.5,ENST00000425430.5,ENST00000433119.6,ENST00000434848.5,ENST00000437379.3,ENST00000446613.6,ENST00000455904.5,ENST00000458642.5,ENST00000475818.5,ENST00000487585.5,ENST00000522202.6,ENST00000861266.2,ENST00000861267.2,ENST00000861268.2,ENST00000861269.2,ENST00000861270.2,ENST00000861271.2,ENST00000861272.2,ENST00000967009.2,ENST00000967010.2,ENST00000994402.1,ENST00000994403.1,ENST00000994404.1,ENST00000994405.1,ENST00000994406.1,ENST00001056217.1,ENST00001056219.1,ENST00001056224.1,ENST00001115068.1,ENST00001119172.1,ENST00001123603.1,ENST00001140404.1	22	ENST00000295757.8,ENST00000402271.6,ENST00000404040.6,ENST00000404548.6,ENST00000405025.6,ENST00000433119.6,ENST00000437379.3,ENST00000446613.6,ENST00000522202.6,ENST00000861266.2,ENST00000861267.2,ENST00000861268.2,ENST00000861270.2,ENST00000861271.2,ENST00000861272.2,ENST00000967010.2,ENST00000994402.1,ENST00000994405.1,ENST00000994406.1,ENST00001056217.1,ENST00001056224.1,ENST00001140404.1	3	multiple_isoforms_differential_probe_coverage
HDAC3	5	71	5	0	70	ENST00000305264.8,ENST00000459727.5,ENST00000467533.5,ENST00000469207.5,ENST00000469550.6,ENST00000471968.1,ENST00000475549.1,ENST00000486618.1,ENST00000490808.1,ENST00000491581.5,ENST00000492407.1,ENST00000492506.1,ENST00000495485.1,ENST00000519474.5,ENST00000523088.5,ENST00000856306.2,ENST00000856307.2,ENST00000856308.2,ENST00000856309.2,ENST00000937590.2,ENST00000937591.2,ENST00000937592.2,ENST00000937593.2,ENST00000937594.2,ENST00000937595.2,ENST00000937596.2,ENST00000940957.2,ENST00000940958.2,ENST00000940959.2,ENST00000940960.2,ENST00000989160.1,ENST00000989161.1,ENST00000989162.1,ENST00000989163.1,ENST00000989164.1,ENST00000989165.1,ENST00000989166.1,ENST00000989170.1,ENST00000989172.1,ENST00000989173.1,ENST00000989174.1,ENST00000989175.1,ENST00001012852.1,ENST00001012854.1,ENST00001012855.1,ENST00001012856.1,ENST00001012857.1,ENST00001012859.1,ENST00001012860.1,ENST00001012861.1,ENST00001070236.1,ENST00001070237.1,ENST00001070238.1,ENST00001070239.1,ENST00001070240.1,ENST00001070241.1,ENST00001070242.1,ENST00001070243.1,ENST00001070244.1,ENST00001070246.1,ENST00001070247.1,ENST00001070248.1,ENST00001107156.1,ENST00001107157.1,ENST00001112647.1,ENST00001112648.1,ENST00001112649.1,ENST00001112650.1,ENST00001130574.1,ENST00001133863.1	41	ENST00000305264.8,ENST00000856306.2,ENST00000856307.2,ENST00000937590.2,ENST00000937591.2,ENST00000937592.2,ENST00000937593.2,ENST00000940957.2,ENST00000940959.2,ENST00000940960.2,ENST00000989160.1,ENST00000989161.1,ENST00000989162.1,ENST00000989163.1,ENST00000989164.1,ENST00000989165.1,ENST00000989166.1,ENST00000989170.1,ENST00000989172.1,ENST00000989173.1,ENST00000989175.1,ENST00001012852.1,ENST00001012854.1,ENST00001012856.1,ENST00001012857.1,ENST00001012859.1,ENST00001012860.1,ENST00001012861.1,ENST00001070238.1,ENST00001070240.1,ENST00001070243.1,ENST00001070246.1,ENST00001070247.1,ENST00001070248.1,ENST00001107156.1,ENST00001107157.1,ENST00001112647.1,ENST00001112648.1,ENST00001112649.1,ENST00001112650.1,ENST00001133863.1	5	multiple_isoforms_differential_probe_coverage
HDAC4	5	41	5	0	33	ENST00000345617.8,ENST00000430200.1,ENST00000445704.1,ENST00000461113.5,ENST00000463007.5,ENST00000487617.5,ENST00000493582.5,ENST00000494800.1,ENST00000535493.5,ENST00000543185.6,ENST00000553145.1,ENST00000690129.1,ENST00000896768.2,ENST00000896769.2,ENST00000896770.2,ENST00000896771.2,ENST00000913662.2,ENST00000913663.2,ENST00000913664.1,ENST00000913665.2,ENST00000913666.2,ENST00000913667.2,ENST00000913668.2,ENST00000913669.2,ENST00000913670.2,ENST00000913671.2,ENST00000913672.2,ENST00000913673.2,ENST00000971555.2,ENST00001115534.1,ENST00001115535.1,ENST00001115536.1,ENST00001143753.1	20	ENST00000345617.8,ENST00000543185.6,ENST00000896768.2,ENST00000896769.2,ENST00000896770.2,ENST00000896771.2,ENST00000913662.2,ENST00000913663.2,ENST00000913664.1,ENST00000913665.2,ENST00000913666.2,ENST00000913667.2,ENST00000913668.2,ENST00000913669.2,ENST00000913670.2,ENST00000913671.2,ENST00000913672.2,ENST00000913673.2,ENST00000971555.2,ENST00001143753.1	4	multiple_isoforms_differential_probe_coverage
HDAC5	5	84	5	0	84	ENST00000225983.11,ENST00000336057.10,ENST00000586339.1,ENST00000586802.6,ENST00000587135.1,ENST00000587776.1,ENST00000588261.1,ENST00000588419.1,ENST00000588703.5,ENST00000591714.5,ENST00000592385.5,ENST00000593013.5,ENST00000682912.1,ENST00000715273.2,ENST00000864900.2,ENST00000864901.2,ENST00000864902.2,ENST00000864903.2,ENST00000864904.2,ENST00000864905.2,ENST00000864906.2,ENST00000864907.2,ENST00000864908.2,ENST00000864909.2,ENST00000864910.2,ENST00000864911.2,ENST00000864912.2,ENST00000864913.2,ENST00000864914.2,ENST00000864915.2,ENST00000864916.2,ENST00000864917.2,ENST00000864918.2,ENST00000864919.2,ENST00000864920.2,ENST00000864921.2,ENST00000864922.2,ENST00000864923.2,ENST00000864924.2,ENST00000864925.2,ENST00000925825.2,ENST00000925826.2,ENST00000925827.2,ENST00000925828.2,ENST00000925829.2,ENST00000925830.2,ENST00000925831.2,ENST00000925832.2,ENST00000968358.2,ENST00000968359.2,ENST00000968360.2,ENST00000968361.2,ENST00000968362.2,ENST00000968363.2,ENST00000968364.2,ENST00000968365.2,ENST00000968366.2,ENST00000968367.2,ENST00000968368.2,ENST00000968369.2,ENST00000968370.2,ENST00000968371.2,ENST00000968372.2,ENST00000968373.2,ENST00000986821.1,ENST00000986822.1,ENST00001057569.1,ENST00001057570.1,ENST00001057572.1,ENST00001057573.1,ENST00001057574.1,ENST00001057575.1,ENST00001057576.1,ENST00001057577.1,ENST00001057578.1,ENST00001057579.1,ENST00001057580.1,ENST00001057581.1,ENST00001057582.1,ENST00001057583.1,ENST00001057584.1,ENST00001057585.1,ENST00001057586.1,ENST00001141966.1	61	ENST00000225983.11,ENST00000336057.10,ENST00000586802.6,ENST00000682912.1,ENST00000715273.2,ENST00000864900.2,ENST00000864901.2,ENST00000864902.2,ENST00000864904.2,ENST00000864905.2,ENST00000864906.2,ENST00000864908.2,ENST00000864910.2,ENST00000864912.2,ENST00000864913.2,ENST00000864914.2,ENST00000864916.2,ENST00000864917.2,ENST00000864918.2,ENST00000864920.2,ENST00000864922.2,ENST00000864923.2,ENST00000864925.2,ENST00000925825.2,ENST00000925826.2,ENST00000925827.2,ENST00000925829.2,ENST00000925831.2,ENST00000925832.2,ENST00000968359.2,ENST00000968361.2,ENST00000968362.2,ENST00000968363.2,ENST00000968364.2,ENST00000968367.2,ENST00000968368.2,ENST00000968369.2,ENST00000968370.2,ENST00000968371.2,ENST00000968372.2,ENST00000968373.2,ENST00000986821.1,ENST00000986822.1,ENST00001057569.1,ENST00001057570.1,ENST00001057572.1,ENST00001057573.1,ENST00001057574.1,ENST00001057575.1,ENST00001057576.1,ENST00001057577.1,ENST00001057578.1,ENST00001057579.1,ENST00001057580.1,ENST00001057581.1,ENST00001057582.1,ENST00001057583.1,ENST00001057584.1,ENST00001057585.1,ENST00001057586.1,ENST00001141966.1	5	multiple_isoforms_differential_probe_coverage
HGF	5	12	5	0	12	ENST00000222390.11,ENST00000354224.10,ENST00000412881.5,ENST00000421558.1,ENST00000423064.8,ENST00000444829.8,ENST00000453018.1,ENST00000453411.7,ENST00000457544.8,ENST00000465234.3,ENST00000643024.1,ENST00001097975.1	7	ENST00000222390.11,ENST00000423064.8,ENST00000444829.8,ENST00000453411.7,ENST00000457544.8,ENST00000465234.3,ENST00001097975.1	4	multiple_isoforms_differential_probe_coverage
HIF1A	5	44	5	0	40	ENST00000323441.11,ENST00000337138.9,ENST00000394997.6,ENST00000539097.3,ENST00000553999.5,ENST00000555014.1,ENST00000556237.1,ENST00000557206.1,ENST00000557538.5,ENST00000908731.2,ENST00000908732.2,ENST00000918842.2,ENST00000918843.2,ENST00000918844.2,ENST00000918845.2,ENST00000918846.2,ENST00000918847.2,ENST00000918848.2,ENST00000918849.2,ENST00000918850.2,ENST00000918851.2,ENST00000941080.2,ENST00000941081.2,ENST00000941082.2,ENST00001006622.1,ENST00001006623.1,ENST00001006624.1,ENST00001025972.1,ENST00001025976.1,ENST00001025977.1,ENST00001025978.1,ENST00001025979.1,ENST00001061485.1,ENST00001061486.1,ENST00001061489.1,ENST00001110008.1,ENST00001110009.1,ENST00001112347.1,ENST00001112348.1,ENST00001137720.1	18	ENST00000323441.11,ENST00000337138.9,ENST00000394997.6,ENST00000539097.3,ENST00000557538.5,ENST00000908731.2,ENST00000918844.2,ENST00000918845.2,ENST00000918846.2,ENST00000918847.2,ENST00000918848.2,ENST00000941081.2,ENST00001006622.1,ENST00001006624.1,ENST00001025977.1,ENST00001061485.1,ENST00001061489.1,ENST00001137720.1	5	multiple_isoforms_differential_probe_coverage
HILPDA	5	7	5	0	7	ENST00000257696.5,ENST00000435296.3,ENST00000466473.1,ENST00000481454.1,ENST00000916177.2,ENST00000916178.2,ENST00001140762.1	5	ENST00000257696.5,ENST00000435296.3,ENST00000916177.2,ENST00000916178.2,ENST00001140762.1	2	multiple_isoforms_differential_probe_coverage
HLA-A	5	136	5	0	134	ENST00000376802.3,ENST00000376806.9,ENST00000376809.10,ENST00000376822.6,ENST00000383605.6,ENST00000383619.7,ENST00000396634.5,ENST00000413609.5,ENST00000414592.5,ENST00000416096.5,ENST00000417978.6,ENST00000431930.5,ENST00000438861.6,ENST00000442939.5,ENST00000443552.5,ENST00000444289.6,ENST00000450342.5,ENST00000453057.5,ENST00000453975.5,ENST00000454091.5,ENST00000455882.5,ENST00000456012.5,ENST00000457879.5,ENST00000460542.5,ENST00000461903.1,ENST00000461996.5,ENST00000462184.1,ENST00000462536.5,ENST00000462986.1,ENST00000463148.5,ENST00000464610.5,ENST00000464713.5,ENST00000465498.1,ENST00000468666.5,ENST00000468995.5,ENST00000470534.1,ENST00000470780.5,ENST00000471291.5,ENST00000473059.5,ENST00000476132.5,ENST00000478186.1,ENST00000478258.5,ENST00000478740.5,ENST00000479320.5,ENST00000479494.5,ENST00000479675.5,ENST00000479969.1,ENST00000481018.5,ENST00000484494.5,ENST00000485166.5,ENST00000487534.5,ENST00000488889.5,ENST00000490454.5,ENST00000492107.1,ENST00000492759.5,ENST00000495183.5,ENST00000496081.5,ENST00000547271.2,ENST00000549224.3,ENST00000549869.5,ENST00000550728.2,ENST00000551120.4,ENST00000552193.3,ENST00000552493.4,ENST00000552498.2,ENST00000612644.2,ENST00000616730.3,ENST00000638213.1,ENST00000638335.1,ENST00000638375.2,ENST00000638576.1,ENST00000638761.1,ENST00000639891.1,ENST00000640080.1,ENST00000640267.1,ENST00000640829.1,ENST00000706892.1,ENST00000706893.1,ENST00000706894.1,ENST00000706895.1,ENST00000706896.1,ENST00000706897.1,ENST00000706898.1,ENST00000706899.1,ENST00000706900.1,ENST00000706901.1,ENST00000706902.1,ENST00000706903.1,ENST00000706904.2,ENST00000706905.2,ENST00000714446.1,ENST00000897456.2,ENST00000897457.2,ENST00000897458.2,ENST00000934587.2,ENST00000934588.2,ENST00000934589.2,ENST00000934590.2,ENST00000934591.2,ENST00000952342.2,ENST00000952343.2,ENST00000952344.2,ENST00000952345.2,ENST00000990029.1,ENST00000990033.1,ENST00000990035.1,ENST00000990036.1,ENST00000990037.1,ENST00001028916.1,ENST00001028920.1,ENST00001028923.1,ENST00001028927.1,ENST00001059959.1,ENST00001059961.1,ENST00001059963.1,ENST00001103912.1,ENST00001103913.1,ENST00001103914.1,ENST00001103915.1,ENST00001103916.1,ENST00001103917.1,ENST00001103918.1,ENST00001103919.1,ENST00001103920.1,ENST00001103921.1,ENST00001103922.1,ENST00001103923.1,ENST00001103924.1,ENST00001103925.1,ENST00001103926.1,ENST00001103927.1,ENST00001103928.1,ENST00001103929.1,ENST00001140972.1	35	ENST00000376806.9,ENST00000376809.10,ENST00000396634.5,ENST00000417978.6,ENST00000431930.5,ENST00000443552.5,ENST00000444289.6,ENST00000549869.5,ENST00000552193.3,ENST00000706898.1,ENST00000706899.1,ENST00000706901.1,ENST00000706905.2,ENST00000714446.1,ENST00000897456.2,ENST00000897457.2,ENST00000934587.2,ENST00000934590.2,ENST00000952342.2,ENST00000990029.1,ENST00000990033.1,ENST00000990036.1,ENST00000990037.1,ENST00001028916.1,ENST00001028923.1,ENST00001059959.1,ENST00001059961.1,ENST00001059963.1,ENST00001103912.1,ENST00001103915.1,ENST00001103918.1,ENST00001103919.1,ENST00001103920.1,ENST00001103923.1,ENST00001140972.1	5	multiple_isoforms_differential_probe_coverage
HLA-B	5	77	5	0	60	ENST00000359635.9,ENST00000412585.7,ENST00000416726.5,ENST00000418147.5,ENST00000421349.6,ENST00000425798.5,ENST00000425848.6,ENST00000434333.1,ENST00000435618.6,ENST00000436729.5,ENST00000437265.5,ENST00000437866.1,ENST00000445222.1,ENST00000450871.6,ENST00000463574.1,ENST00000463600.5,ENST00000465455.1,ENST00000469883.1,ENST00000470915.1,ENST00000471639.5,ENST00000472294.5,ENST00000473379.5,ENST00000474381.2,ENST00000475902.1,ENST00000479990.5,ENST00000481849.6,ENST00000488367.5,ENST00000488641.5,ENST00000490054.5,ENST00000490676.1,ENST00000491669.5,ENST00000492573.5,ENST00000494335.5,ENST00000497377.6,ENST00000498007.1,ENST00000639633.1,ENST00000640094.2,ENST00000640223.1,ENST00000640675.1,ENST00000696558.1,ENST00000696559.1,ENST00000696560.1,ENST00000696561.2,ENST00000696562.2,ENST00000951754.1,ENST00000951755.2,ENST00000951756.2,ENST00001044969.1,ENST00001044970.1,ENST00001044971.1,ENST00001044974.1,ENST00001096481.1,ENST00001096482.1,ENST00001096483.1,ENST00001096484.1,ENST00001096485.1,ENST00001096486.1,ENST00001096487.1,ENST00001096488.1,ENST00001139456.1	17	ENST00000412585.7,ENST00000474381.2,ENST00000481849.6,ENST00000497377.6,ENST00000696559.1,ENST00000696560.1,ENST00000696561.2,ENST00000696562.2,ENST00000951754.1,ENST00000951755.2,ENST00001044969.1,ENST00001044970.1,ENST00001044971.1,ENST00001044974.1,ENST00001096484.1,ENST00001096486.1,ENST00001139456.1	5	multiple_isoforms_differential_probe_coverage
HLA-C	5	104	5	0	35	ENST00000376228.10,ENST00000376237.8,ENST00000383329.8,ENST00000415537.1,ENST00000422726.6,ENST00000423509.6,ENST00000424832.6,ENST00000430940.6,ENST00000457806.1,ENST00000462851.1,ENST00000464914.5,ENST00000466892.5,ENST00000470363.5,ENST00000476248.5,ENST00000484378.1,ENST00000486266.5,ENST00000487245.5,ENST00000494158.5,ENST00000495835.1,ENST00000496419.5,ENST00000497204.1,ENST00000956155.2,ENST00000956156.2,ENST00000995414.1,ENST00001044871.1,ENST00001044872.1,ENST00001044873.1,ENST00001044879.1,ENST00001096539.1,ENST00001096540.1,ENST00001096541.1,ENST00001096542.1,ENST00001096543.1,ENST00001096544.1,ENST00001132909.1	17	ENST00000376228.10,ENST00000376237.8,ENST00000383329.8,ENST00000422726.6,ENST00000424832.6,ENST00000476248.5,ENST00000956155.2,ENST00000956156.2,ENST00000995414.1,ENST00001044871.1,ENST00001044872.1,ENST00001044873.1,ENST00001044879.1,ENST00001096540.1,ENST00001096541.1,ENST00001096542.1,ENST00001132909.1	4	multiple_isoforms_differential_probe_coverage
HLA-DPA1	5	70	5	0	70	ENST00000374808.6,ENST00000383224.6,ENST00000413109.1,ENST00000414003.1,ENST00000414177.1,ENST00000415247.6,ENST00000417724.1,ENST00000419277.6,ENST00000419452.1,ENST00000422504.5,ENST00000423630.1,ENST00000425105.5,ENST00000427518.1,ENST00000428180.1,ENST00000429960.1,ENST00000432811.1,ENST00000436183.1,ENST00000437123.1,ENST00000437676.1,ENST00000437811.1,ENST00000439393.1,ENST00000439571.1,ENST00000439867.1,ENST00000441306.1,ENST00000441483.1,ENST00000442259.1,ENST00000443117.5,ENST00000447657.1,ENST00000448154.1,ENST00000448742.1,ENST00000452619.1,ENST00000453314.1,ENST00000453337.1,ENST00000454805.5,ENST00000455869.1,ENST00000456525.1,ENST00000463066.1,ENST00000463243.5,ENST00000472997.1,ENST00000474244.1,ENST00000475500.1,ENST00000476642.5,ENST00000479107.1,ENST00000480481.5,ENST00000480521.1,ENST00000480689.1,ENST00000481258.1,ENST00000483480.5,ENST00000484244.1,ENST00000484255.1,ENST00000485095.1,ENST00000486369.1,ENST00000486449.5,ENST00000488565.1,ENST00000494775.1,ENST00000495074.5,ENST00000497834.5,ENST00000502285.1,ENST00000511285.1,ENST00000512750.1,ENST00000514979.5,ENST00000515317.5,ENST00000515346.1,ENST00000692443.1,ENST00000910957.2,ENST00000910958.2,ENST00000923943.2,ENST00000973506.1,ENST00001103662.1,ENST00001127092.1	22	ENST00000374808.6,ENST00000383224.6,ENST00000415247.6,ENST00000419277.6,ENST00000422504.5,ENST00000443117.5,ENST00000454805.5,ENST00000472997.1,ENST00000479107.1,ENST00000480689.1,ENST00000481258.1,ENST00000484244.1,ENST00000485095.1,ENST00000486369.1,ENST00000511285.1,ENST00000515317.5,ENST00000692443.1,ENST00000910957.2,ENST00000923943.2,ENST00000973506.1,ENST00001103662.1,ENST00001127092.1	5	multiple_isoforms_differential_probe_coverage
HLA-DPB1	5	90	5	0	82	ENST00000383102.6,ENST00000399491.7,ENST00000399500.6,ENST00000402095.6,ENST00000411424.2,ENST00000411558.6,ENST00000411722.1,ENST00000411749.6,ENST00000415438.5,ENST00000415996.6,ENST00000416804.3,ENST00000418444.5,ENST00000418931.7,ENST00000425130.6,ENST00000428835.6,ENST00000432661.1,ENST00000433800.6,ENST00000434121.1,ENST00000441678.5,ENST00000441857.6,ENST00000441981.6,ENST00000444931.6,ENST00000445702.5,ENST00000445925.1,ENST00000447674.1,ENST00000447783.6,ENST00000450474.5,ENST00000454006.6,ENST00000455122.1,ENST00000456386.1,ENST00000458614.5,ENST00000461155.5,ENST00000466949.1,ENST00000469120.1,ENST00000469961.5,ENST00000471170.1,ENST00000471184.5,ENST00000471485.1,ENST00000472101.1,ENST00000474044.5,ENST00000475215.1,ENST00000476677.1,ENST00000478718.1,ENST00000481615.5,ENST00000483210.1,ENST00000486122.1,ENST00000487157.1,ENST00000487219.1,ENST00000487405.1,ENST00000487685.1,ENST00000488413.1,ENST00000491374.1,ENST00000491972.5,ENST00000492866.1,ENST00000492916.5,ENST00000492951.1,ENST00000493721.1,ENST00000494240.1,ENST00000494369.1,ENST00000495662.5,ENST00000497181.1,ENST00000498038.1,ENST00000714454.1,ENST00000714455.1,ENST00000714456.1,ENST00000714457.1,ENST00000907475.1,ENST00000907476.1,ENST00000907477.2,ENST00000907478.2,ENST00000966802.2,ENST00000966803.2,ENST00000966804.2,ENST00000973634.1,ENST00000973636.1,ENST00001057251.1,ENST00001057253.1,ENST00001057254.1,ENST00001057255.1,ENST00001103695.1,ENST00001103696.1,ENST00001133678.1	4	ENST00000418931.7,ENST00000973634.1,ENST00001103696.1,ENST00001133678.1	4	multiple_isoforms_differential_probe_coverage
HLA-DQA1	5	51	5	0	47	ENST00000343139.11,ENST00000374949.3,ENST00000383251.6,ENST00000395363.6,ENST00000399675.5,ENST00000399678.5,ENST00000416403.5,ENST00000418023.5,ENST00000420385.5,ENST00000441297.5,ENST00000442315.5,ENST00000442680.1,ENST00000443320.5,ENST00000444296.6,ENST00000450614.5,ENST00000450960.1,ENST00000451947.6,ENST00000453504.5,ENST00000456258.6,ENST00000457246.6,ENST00000460633.1,ENST00000461508.5,ENST00000463379.5,ENST00000466849.5,ENST00000468299.5,ENST00000468405.1,ENST00000474698.5,ENST00000476192.5,ENST00000477036.5,ENST00000481936.1,ENST00000482066.1,ENST00000482745.5,ENST00000484643.5,ENST00000486605.5,ENST00000496318.5,ENST00000497426.5,ENST00000498305.5,ENST00000498769.5,ENST00000640446.1,ENST00000898992.1,ENST00000898993.2,ENST00000954018.2,ENST00001020949.1,ENST00001117782.1,ENST00001117783.1,ENST00001127811.1,ENST00001138245.1	10	ENST00000343139.11,ENST00000374949.3,ENST00000395363.6,ENST00000496318.5,ENST00000954018.2,ENST00001020949.1,ENST00001117782.1,ENST00001117783.1,ENST00001127811.1,ENST00001138245.1	5	multiple_isoforms_differential_probe_coverage
HLA-DQB1	5	51	5	0	43	ENST00000374943.9,ENST00000383121.2,ENST00000383247.6,ENST00000399065.8,ENST00000399074.7,ENST00000399079.8,ENST00000399082.8,ENST00000399084.5,ENST00000399088.8,ENST00000399670.3,ENST00000413089.1,ENST00000414518.2,ENST00000415926.5,ENST00000416192.6,ENST00000419914.6,ENST00000421888.5,ENST00000422950.1,ENST00000424530.6,ENST00000424806.1,ENST00000428219.6,ENST00000433936.6,ENST00000434651.7,ENST00000434886.6,ENST00000443574.1,ENST00000460185.1,ENST00000472708.5,ENST00000473366.5,ENST00000475182.5,ENST00000476430.1,ENST00000479570.5,ENST00000480749.5,ENST00000484729.2,ENST00000487676.1,ENST00000490862.5,ENST00000922190.2,ENST00000955676.2,ENST00000955677.2,ENST00000995536.1,ENST00001102430.1,ENST00001102431.1,ENST00001102432.1,ENST00001116379.1,ENST00001116380.1	6	ENST00000374943.9,ENST00000399079.8,ENST00000399084.5,ENST00000434651.7,ENST00000487676.1,ENST00000955677.2	5	multiple_isoforms_differential_probe_coverage
HLA-DRA	5	29	5	0	29	ENST00000374982.6,ENST00000383127.6,ENST00000383258.3,ENST00000383259.6,ENST00000395388.7,ENST00000411505.2,ENST00000411524.6,ENST00000414698.6,ENST00000415767.2,ENST00000416883.6,ENST00000418111.2,ENST00000427753.2,ENST00000434866.2,ENST00000442960.6,ENST00000459705.1,ENST00000461633.1,ENST00000481943.1,ENST00000482781.1,ENST00000493431.1,ENST00000498597.1,ENST00000613328.1,ENST00000870694.2,ENST00000870695.2,ENST00000870696.2,ENST00000870697.2,ENST00000917299.2,ENST00001010181.1,ENST00001095080.1,ENST00001137553.1	10	ENST00000383127.6,ENST00000395388.7,ENST00000613328.1,ENST00000870694.2,ENST00000870695.2,ENST00000870696.2,ENST00000917299.2,ENST00001010181.1,ENST00001095080.1,ENST00001137553.1	5	multiple_isoforms_differential_probe_coverage
HLA-DRB1	5	33	4	1	27	ENST00000328980.11,ENST00000360004.6,ENST00000399450.6,ENST00000419393.6,ENST00000437784.6,ENST00000444645.6,ENST00000696610.1,ENST00000696611.1,ENST00000696612.1,ENST00000696613.1,ENST00000859897.2,ENST00000859898.2,ENST00000859899.2,ENST00000859900.2,ENST00000859901.2,ENST00000963203.2,ENST00000994739.1,ENST00001030916.1,ENST00001099557.1,ENST00001099558.1,ENST00001099559.1,ENST00001099560.1,ENST00001099561.1,ENST00001099562.1,ENST00001099563.1,ENST00001117827.1,ENST00001138303.1	0		5	incomplete_probe_mapping
HLA-DRB5	5	10	5	0	10	ENST00000374975.4,ENST00000714490.2,ENST00000871536.2,ENST00000871537.2,ENST00000943826.2,ENST00000943827.2,ENST00000998137.1,ENST00001030846.1,ENST00001099545.1,ENST00001139168.1	9	ENST00000374975.4,ENST00000714490.2,ENST00000871536.2,ENST00000871537.2,ENST00000943826.2,ENST00000943827.2,ENST00000998137.1,ENST00001030846.1,ENST00001139168.1	2	multiple_isoforms_differential_probe_coverage
